date,newDeaths,cum,hospCases,googleretail_and_recreation,googlegrocery_and_pharmacyn,googleparksne,googletransit_stationsne,googleworkplacesne,covidOccupiedMVBeds,TransCars,TransLight Commercial Vehicles,TransHeavy Goods Vehicles,TransAll motor vehicles,TransNational Rail,Trans for London Tube,Trans for London Bus,TransBus (excl),TransCycling,Care hm deaths,newFirstDose,cumFirstDose,newSecondDose,cumSecondDose,cumThird,pillarplannedCapacity,pillarcapacityOne,pillarcapacityTwo,pillarcapacityThree,pillarcapacityFour,pillarnewOneTests,pillarnewTwoTests,pillarnewThreeTests,pillarnewFourTests,pillarnewTests,pillarcumOneTests,pillarcumTwoTests,pillarcumThreeTests,pillarcumFourTests,pillarcumTests,cumAdmissions,Antibody_Tests_plannedPCRCapacity,Antibody_Tests_newPCRTests,Antibody_Tests_cumPCRTests,Antibody_Tests_plannedCapacity,Antibody_Tests_new,Antibody_Tests_cum,newCases,cumCases,newVirusTests,cumVirusTests,res_schools_closed,res_pubs_closed,res_shops_closed,res_eating_places_closed,res_stay_at_home,res_house_mix_banned,res_wfh,res_rule_of_6_indoors,res_curfew,res_eat_out,wrl_total_cases,wrl_new_cases,wrl_new_cases_smoothed,wrl_total_deaths,wrl_new_deaths,wrl_new_deaths_smoothed,wrl_total_cases_per_million,wrl_new_cases_per_million,wrl_new_cases_smoothed_per_million,wrl_total_deaths_per_million,wrl_new_deaths_per_million,wrl_new_deaths_smoothed_per_million,wrl_reproduction_rate,wrl_icu_patients,wrl_icu_patients_per_million,wrl_hosp_patients,wrl_hosp_patients_per_million,wrl_total_tests,wrl_total_tests_per_thousand,wrl_new_tests_per_thousand,wrl_new_tests_smoothed,wrl_new_tests_smoothed_per_thousand,wrl_positive_rate,wrl_tests_per_case,wrl_tests_units,wrl_total_vaccinations,wrl_people_vaccinated,wrl_people_fully_vaccinated,wrl_total_boosters,wrl_new_vaccinations,wrl_new_vaccinations_smoothed,wrl_total_vaccinations_per_hundred,wrl_people_vaccinated_per_hundred,wrl_people_fully_vaccinated_per_hundred,wrl_total_boosters_per_hundred,wrl_new_vaccinations_smoothed_per_million,wrl_new_people_vaccinated_smoothed,wrl_new_people_vaccinated_smoothed_per_hundred,wrl_stringency_index,wrl_population,wrl_population_density,wrl_median_age,wrl_aged_65_older,wrl_aged_70_older,wrl_gdp_per_capita,wrl_extreme_poverty,wrl_cardiovasc_death_rate,wrl_diabetes_prevalence,wrl_female_smokers,wrl_male_smokers,wrl_handwashing_facilities,wrl_hosp_beds_1000,wrl_life_exp,wrl_hum_dev_index,count_flight,flight 7day avg,Adm classification target
3/23/2020,208,1021,NA,-87,-70,-82,-79,-76,NA,0.64,0.77,0.97,0.69,0.25,0.15,0.31,0.27,0.86,NA,NA,NA,NA,NA,NA,10949,10949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4880,NA,NA,NA,NA,NA,NA,967,6650,NA,NA,1,1,0,1,0,0,1,0,0,0,12744,2349,1293.143,365,76,42.714,186.843,34.439,18.959,5.351,1.114,0.626,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.24,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,1663,2695.57,Medium(500-1500)
3/24/2020,263,1284,NA,-94,-79,-88,-87,-80,NA,0.44,0.56,0.84,0.49,0.2,0.09,0.22,0.17,0.85,NA,NA,NA,NA,NA,NA,10949,10949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6598,NA,NA,NA,NA,NA,NA,1427,8077,NA,NA,1,1,1,1,1,1,1,0,0,0,15126,2382,1523.429,513,148,61.429,221.766,34.923,22.335,7.521,2.17,0.901,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,1348,2377.43,High(above 1500)
3/25/2020,337,1621,NA,-95,-82,-88,-90,-85,NA,0.37,0.47,0.77,0.42,0.16,0.07,0.19,0.14,1.28,NA,NA,NA,NA,NA,NA,10949,10949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8683,NA,NA,NA,NA,NA,NA,1452,9529,NA,NA,1,1,1,1,1,1,1,0,0,0,17843,2717,1767.857,704,191,83.714,261.6,39.835,25.919,10.322,2.8,1.227,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,1071,2065,High(above 1500)
3/26/2020,413,2034,NA,-96,-83,-91,-92,-85,NA,0.35,0.43,0.72,0.39,0.13,0.06,0.18,0.13,1.32,NA,NA,NA,NA,NA,NA,10949,10949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10613,NA,NA,NA,NA,NA,NA,2129,11658,NA,NA,1,1,1,1,1,1,1,0,0,0,20970,3127,2062.286,886,182,103.143,307.446,45.846,30.236,12.99,2.668,1.512,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,1098,1753.57,High(above 1500)
3/27/2020,463,2497,7267,-96,-83,-91,-92,-84,NA,0.35,0.42,0.69,0.38,0.1,0.06,0.18,0.14,1.06,NA,NA,NA,NA,NA,NA,10949,10949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12842,NA,NA,NA,NA,NA,NA,2890,14548,NA,NA,1,1,1,1,1,1,1,0,0,0,24219,3249,2346.714,1174,288,139.714,355.08,47.634,34.406,17.212,4.222,2.048,1.95,NA,NA,7267,106.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,1053,1437.57,High(above 1500)
3/28/2020,516,3013,8278,-95,-74,-93,-92,NA,NA,0.27,0.34,0.71,0.3,0.09,0.04,0.17,0.12,1.25,NA,NA,NA,NA,NA,NA,10949,10949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15034,NA,NA,NA,NA,NA,NA,2556,17104,NA,NA,1,1,1,1,1,1,1,0,0,0,27062,2843,2579.286,1466,292,173.143,396.762,41.682,37.815,21.493,4.281,2.538,1.9,NA,NA,8278,121.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,733,1267.14,High(above 1500)
3/29/2020,586,3599,9525,-95,-80,-93,-91,NA,NA,0.23,0.29,0.72,0.25,0.08,0.04,0.16,0.13,0.83,NA,NA,NA,NA,NA,NA,12799,12799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17523,NA,NA,NA,NA,NA,NA,2502,19606,NA,NA,1,1,1,1,1,1,1,0,0,0,29954,2892,2794.143,1679,213,198.571,439.162,42.4,40.966,24.616,3.123,2.911,1.83,NA,NA,9525,139.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,706,1096,High(above 1500)
3/30/2020,711,4310,11093,-95,-84,-90,-93,-82,NA,0.33,0.41,0.64,0.36,0.06,0.06,0.17,0.12,0.72,NA,NA,NA,NA,NA,NA,12799,12799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20715,NA,NA,NA,NA,NA,NA,2665,22271,NA,NA,1,1,1,1,1,1,1,0,0,0,34281,4327,3076.714,2053,374,241.143,502.602,63.439,45.108,30.099,5.483,3.535,1.74,NA,NA,11093,162.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,658,952.43,High(above 1500)
3/31/2020,831,5141,12597,-96,-84,-92,-93,-85,NA,0.32,0.4,0.62,0.36,0.05,0.05,0.17,0.12,0.96,NA,NA,NA,NA,NA,NA,15499,15499,NA,NA,NA,11267,629,NA,NA,11896,153588,1586,NA,NA,155174,23547,NA,NA,NA,NA,NA,NA,3250,25521,NA,NA,1,1,1,1,1,1,1,0,0,0,38815,4534,3384.143,2457,404,277.714,569.076,66.474,49.616,36.023,5.923,4.072,1.64,NA,NA,12597,184.687,176912,2.594,NA,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,677,856.57,High(above 1500)
4/1/2020,924,6065,13637,-96,-85,-92,-93,-85,NA,0.32,0.39,0.61,0.35,0.05,0.05,0.16,0.11,1.11,NA,NA,NA,NA,NA,NA,15499,15499,NA,NA,NA,11256,668,NA,23,11947,164844,2254,NA,139,167237,27114,NA,NA,NA,NA,NA,NA,4567,30088,NA,NA,1,1,1,1,1,1,1,0,0,0,43789,4974,3706.571,3130,673,346.571,642,72.925,54.343,45.89,9.867,5.081,1.57,NA,NA,13637,199.935,189286,2.775,0.181,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,680,800.71,High(above 1500)
