date,newDeaths,cum,hospCases,TransCars,TransLight Commercial Vehicles,TransHeavy Goods Vehicles,TransAll motor vehicles,Transtiol Rail,Trans for London Tube,Trans for London Bus,TransBus (excl),TransCycling,Care hm deaths,pillarplannedCapacity,pillarcapacityOne,pillarcapacityTwo,Antibody_Tests_plannedPCRCapacity,Antibody_Tests_newPCRTests,Antibody_Tests_cumPCRTests,Antibody_Tests_plannedCapacity,Antibody_Tests_new,Antibody_Tests_cum,newCases,cumCases,newVirusTests,cumVirusTests,res_schools_closed,res_pubs_closed,res_shops_closed,res_eating_places_closed,res_stay_at_home,res_house_mix_banned,res_wfh,res_rule_of_6_indoors,res_curfew,res_eat_out,count_flight,flight 7day avg,cumAdmissions,Adm classification target
3/23/2020,208,1021,,0.64,0.77,0.97,0.69,0.25,0.15,0.31,0.27,0.86,,10949,10949,,,,,,,,967,6650,,,1,1,0,1,0,0,1,0,0,0,1663,2695.57,4880,Medium(500-1500)
3/24/2020,263,1284,,0.44,0.56,0.84,0.49,0.2,0.09,0.22,0.17,0.85,,10949,10949,,,,,,,,1427,8077,,,1,1,1,1,1,1,1,0,0,0,1348,2377.43,6598,High(above 1500)
3/25/2020,337,1621,,0.37,0.47,0.77,0.42,0.16,0.07,0.19,0.14,1.28,,10949,10949,,,,,,,,1452,9529,,,1,1,1,1,1,1,1,0,0,0,1071,2065,8683,High(above 1500)
3/26/2020,413,2034,,0.35,0.43,0.72,0.39,0.13,0.06,0.18,0.13,1.32,,10949,10949,,,,,,,,2129,11658,,,1,1,1,1,1,1,1,0,0,0,1098,1753.57,10613,High(above 1500)
3/27/2020,463,2497,7267,0.35,0.42,0.69,0.38,0.1,0.06,0.18,0.14,1.06,,10949,10949,,,,,,,,2890,14548,,,1,1,1,1,1,1,1,0,0,0,1053,1437.57,12842,High(above 1500)
3/28/2020,516,3013,8278,0.27,0.34,0.71,0.3,0.09,0.04,0.17,0.12,1.25,,10949,10949,,,,,,,,2556,17104,,,1,1,1,1,1,1,1,0,0,0,733,1267.14,15034,High(above 1500)
3/29/2020,586,3599,9525,0.23,0.29,0.72,0.25,0.08,0.04,0.16,0.13,0.83,,12799,12799,,,,,,,,2502,19606,,,1,1,1,1,1,1,1,0,0,0,706,1096,17523,High(above 1500)
3/30/2020,711,4310,11093,0.33,0.41,0.64,0.36,0.06,0.06,0.17,0.12,0.72,,12799,12799,,,,,,,,2665,22271,,,1,1,1,1,1,1,1,0,0,0,658,952.43,20715,High(above 1500)
3/31/2020,831,5141,12597,0.32,0.4,0.62,0.36,0.05,0.05,0.17,0.12,0.96,,15499,15499,,,,,,,,3250,25521,,,1,1,1,1,1,1,1,0,0,0,677,856.57,23547,High(above 1500)
4/1/2020,924,6065,13637,0.32,0.39,0.61,0.35,0.05,0.05,0.16,0.11,1.11,,15499,15499,,,,,,,,4567,30088,,,1,1,1,1,1,1,1,0,0,0,680,800.71,27114,High(above 1500)
4/2/2020,1007,7072,13875,0.32,0.38,0.6,0.35,0.05,0.05,0.16,0.11,1.1,,15499,15499,,,,,,,,4522,34610,,,1,1,1,1,1,1,1,0,0,0,642,735.57,30400,High(above 1500)
4/3/2020,1061,8133,15546,0.34,0.4,0.6,0.36,0.05,0.05,0.16,0.12,1.12,,15499,15499,,,,,,,,4672,39282,,,1,1,1,1,1,1,1,0,0,0,667,680.43,33330,High(above 1500)
4/4/2020,1147,9280,17502,0.28,0.35,0.66,0.31,0.05,0.04,0.17,0.11,2,,15699,15699,,,,,,,,4000,43282,,,1,1,1,1,1,1,1,0,0,0,465,642.14,36252,High(above 1500)
4/5/2020,1220,10500,18855,0.25,0.31,0.7,0.27,0.05,0.04,0.17,0.12,2.25,,15699,15699,,,,,,,,6199,49481,,,1,1,1,1,1,1,1,0,0,0,462,607.29,39168,High(above 1500)
4/6/2020,1170,11670,19493,0.34,0.42,0.61,0.37,0.05,0.05,0.18,0.11,1.05,,18049,18049,,,,,,,,4143,53624,,,1,1,1,1,1,1,1,0,0,0,506,585.57,42214,High(above 1500)
4/7/2020,1293,12963,20234,0.33,0.41,0.6,0.36,0.05,0.05,0.18,0.11,1.37,,18149,18149,,,,,,,,3888,57512,,,1,1,1,1,1,1,1,0,0,0,564,569.43,45364,High(above 1500)
4/8/2020,1461,14424,20740,0.34,0.42,0.62,0.37,0.05,0.05,0.17,0.1,1.55,,24469,18149,6320,,,,,,,5865,63377,,,1,1,1,1,1,1,1,0,0,0,591,556.71,48331,High(above 1500)
4/9/2020,1375,15799,21005,0.36,0.43,0.61,0.39,0.05,0.05,0.18,0.12,1.68,,27057,19507,7050,26557,,,500,,,4675,68052,,,1,1,1,1,1,1,1,0,0,0,563,545.43,50960,High(above 1500)
4/10/2020,1319,17118,21280,0.27,0.27,0.33,0.27,0.04,0.03,0.13,0.12,1.79,150,26557,19507,6550,26057,,,500,,,5706,73758,,,1,1,1,1,1,1,1,0,0,0,473,517.71,53423,High(above 1500)
4/11/2020,1365,18483,21254,0.29,0.35,0.55,0.31,0.04,0.03,0.16,0.1,2.88,79,27947,19807,7640,27447,,,500,,,5234,78991,,,1,1,1,1,1,1,1,0,0,0,341,500,55586,High(above 1500)
4/12/2020,1378,19861,21687,0.22,0.27,0.5,0.24,0.04,0.03,0.13,0.1,2.48,110,27947,19807,7640,27447,,,500,,,5288,84279,,,1,1,1,1,1,1,1,0,0,0,346,483.43,57652,High(above 1500)
4/13/2020,1232,21093,21308,0.23,0.22,0.25,0.23,0.04,0.02,0.12,0.12,1.21,290,33171,19471,13200,32671,,,500,,,4342,88621,,,1,1,1,1,1,1,1,0,0,0,353,461.57,59815,High(above 1500)
4/14/2020,1254,22347,21281,0.35,0.44,0.6,0.38,0.04,0.05,0.19,0.12,1.34,551,35571,20771,14300,35071,,,500,,,5252,93873,,,1,1,1,1,1,1,1,0,0,0,501,452.57,61903,High(above 1500)
4/15/2020,1276,23623,20582,0.34,0.44,0.63,0.38,0.04,0.05,0.18,0.1,1.95,481,38766,23966,14300,38266,,,500,,,4605,98476,,,1,1,1,1,1,1,1,0,0,0,563,448.57,63783,High(above 1500)
